Year,yhat,Country,Indicator
1986,19.795112514400067,United States,CO2
1987,19.852395826536593,United States,CO2
1988,19.81861403189011,United States,CO2
1989,19.954363649585915,United States,CO2
1990,20.102771672363346,United States,CO2
1991,20.160054984489733,United States,CO2
1992,20.126273188113128,United States,CO2
1993,20.26202280148346,United States,CO2
1994,20.410430821305653,United States,CO2
1995,20.467714127927422,United States,CO2
1996,20.433932325029225,United States,CO2
1997,20.569635354696782,United States,CO2
1998,20.71799691759641,United States,CO2
1999,20.775063351916387,United States,CO2
2000,20.74088367531177,United States,CO2
2001,20.875963640118062,United States,CO2
2002,20.90946713293766,United States,CO2
2003,20.851729583259633,United States,CO2
2004,20.39690971225275,United States,CO2
2005,20.110467723545995,United States,CO2
2006,19.83672868765976,United States,CO2
2007,19.471639927312083,United States,CO2
2008,19.01547112930946,United States,CO2
2009,18.727676516400063,United States,CO2
2010,18.45369753483627,United States,CO2
2011,18.088593844673788,United States,CO2
2012,17.632425047939062,United States,CO2
2013,17.344720978610535,United States,CO2
2014,17.070858191384527,United States,CO2
2015,16.705901112820566,United States,CO2
2016,16.24993220310421,United States,CO2
2017,15.962338027637731,United States,CO2
2018,15.688558935144297,United States,CO2
2019,15.32365513199943,United States,CO2
2020,14.867686222283442,United States,CO2
2021,14.580092046817548,United States,CO2
2022,14.306312954324,United States,CO2
2023,13.941409151179139,United States,CO2
2023,12.13965397495655,United States,CO2
2024,12.938617595113184,United States,CO2
2025,12.30130398242129,United States,CO2
2026,11.574012957842978,United States,CO2
2027,10.757407994141136,United States,CO2
1986,1.4414200721400428,China,CO2
1987,1.606582990136064,China,CO2
1988,1.7572022887586491,China,CO2
1989,1.8598819251920673,China,CO2
1990,2.039563999736671,China,CO2
1991,2.2047269191666583,China,CO2
1992,2.3553462177314275,China,CO2
1993,2.458025854820904,China,CO2
1994,2.637708976342564,China,CO2
1995,2.802874409624292,China,CO2
1996,2.9534988872843355,China,CO2
1997,3.056272697238156,China,CO2
1998,3.2360486871357947,China,CO2
1999,3.4014402568362962,China,CO2
2000,3.617790275619174,China,CO2
2001,3.7865463458163586,China,CO2
2002,4.032191078264743,China,CO2
2003,4.263432436741057,China,CO2
2004,4.480176533908869,China,CO2
2005,4.649162133003104,China,CO2
2006,4.8949690075459795,China,CO2
2007,5.126256726425872,China,CO2
2008,5.34300082622533,China,CO2
2009,5.511986427118643,China,CO2
2010,5.757793300446881,China,CO2
2011,5.989081017789754,China,CO2
2012,6.20582511490467,China,CO2
2013,6.374810714080793,China,CO2
2014,6.620617586451788,China,CO2
2015,6.851905303631153,China,CO2
2016,7.06864939892375,China,CO2
2017,7.237634996137377,China,CO2
2018,7.483441866772452,China,CO2
2019,7.7147295822929856,China,CO2
2020,7.931473677585515,China,CO2
2021,8.100459274799277,China,CO2
2022,8.346266145434427,China,CO2
2023,8.577553860954787,China,CO2
2023,8.65339454435201,China,CO2
2024,8.996498832581597,China,CO2
2025,9.184181755582351,China,CO2
2026,9.357396811666138,China,CO2
2027,9.516218823014432,China,CO2
1986,13.765742592000187,Russian Federation,CO2
1987,13.70391961470472,Russian Federation,CO2
1988,13.518520097999055,Russian Federation,CO2
1989,13.332378434564273,Russian Federation,CO2
1990,13.394093515253731,Russian Federation,CO2
1991,13.332270537983431,Russian Federation,CO2
1992,13.14687102115462,Russian Federation,CO2
1993,12.960729357688525,Russian Federation,CO2
1994,13.022444444785133,Russian Federation,CO2
1995,12.960674139147628,Russian Federation,CO2
1996,12.77540723876831,Russian Federation,CO2
1997,12.589668005696076,Russian Federation,CO2
1998,12.651784417360329,Russian Federation,CO2
1999,12.590591711843569,Russian Federation,CO2
2000,12.406149461650802,Russian Federation,CO2
2001,12.221351272454267,Russian Federation,CO2
2002,12.284803401582243,Russian Federation,CO2
2003,12.225097123187671,Russian Federation,CO2
2004,12.042142360881797,Russian Federation,CO2
2005,11.858452149760367,Russian Federation,CO2
2006,11.922753144531118,Russian Federation,CO2
2007,11.863533129778943,Russian Federation,CO2
2008,11.680994076844035,Russian Federation,CO2
2009,11.497833172436847,Russian Federation,CO2
2010,11.56257756078116,Russian Federation,CO2
2011,11.503790270822453,Russian Federation,CO2
2012,11.321426441321702,Russian Federation,CO2
2013,11.138328961805891,Russian Federation,CO2
2014,11.203079909455562,Russian Federation,CO2
2015,11.144292799445992,Russian Federation,CO2
2016,10.961929150102339,Russian Federation,CO2
